Angiogenesis,Apoptosis,CellCycle,Differentiation,DNAdamage,DNArepair,EMT,Hypoxia,Inflammation,Invasion,Metastasis,Proliferation,Quiescence,Stemness
1.617483,0.64755505,-2.0040112,0.49624437,0.08830618,-1.115386,-0.85621494,0.9310308,-0.878117,-1.9450048,-0.6681023,-0.20001149,-0.30307636,-1.3115833
1.0282904,0.44355908,-2.0250504,0.61153907,-0.060010873,-1.4626377,-0.85110396,1.0348262,-0.81611276,-2.311662,-0.18148561,-0.4400061,-0.7294053,-1.3221142
1.1146729,0.30608174,-2.3921027,0.9113211,0.20635231,-1.2491324,-1.0268888,0.53999776,-0.93707126,-2.2547116,-0.7664388,-0.5309649,-0.43929958,-1.7967585
1.191898,0.66994464,-2.0506341,0.40597445,0.29057658,-1.0736142,-0.973838,0.8903778,-0.7517873,-1.9722481,-0.39321935,-0.33575478,-0.22003743,-1.2618164
1.5042664,0.47236294,-2.3587422,0.85849977,0.15437905,-1.2866011,-1.1180725,0.6277917,-0.7847595,-2.128611,-0.62838024,-0.31851646,-0.57916456,-1.5990325
1.267006,0.07572219,-1.9824167,0.95420736,0.0423803,-1.695807,-1.4113593,0.47525972,-0.7927071,-2.5345721,-0.48543295,-0.53442353,-0.61501724,-1.3399451
1.2551264,0.38444823,-2.4384422,0.7675829,0.03347113,-1.729727,-0.7610714,1.1537024,-1.0857364,-2.1729705,-0.69777405,-0.2932502,-0.5417173,-1.2287549
0.9864621,0.4367074,-2.1477337,0.71681225,0.32237732,-1.2277961,-1.2010051,0.8342441,-0.80911744,-2.1565804,-0.68280584,-0.3236469,-0.6159692,-1.4185994
1.1443763,0.4250789,-2.069995,0.46425688,0.32661712,-1.2322335,-0.95323455,0.6984115,-0.7624655,-2.0970943,-0.9366373,-0.29702556,-0.45239097,-1.6173911
1.3017368,0.41931477,-2.3171701,0.45818543,0.32362998,-1.1459072,-0.917598,0.75486124,-0.65099823,-1.9761566,-0.79508275,-0.41708624,-0.3861192,-1.3351706
1.3487412,-0.050909996,-2.3420792,0.89748204,0.41361058,-1.1409831,-0.790845,0.7343085,-0.97661597,-2.2585344,-0.46706107,-0.27190447,-0.4612183,-1.4346212
1.4156159,0.55984807,-2.1297128,0.4328634,0.0933521,-1.2836115,-0.74407774,0.7767156,-0.5838039,-2.0688436,-0.71464354,-0.3708325,-0.39317042,-1.4035479
